,Gender,Age,Occupation,Zipcode
1246,M,35,0,92649
1247,F,35,20,9459
1248,M,35,2,94587
1249,M,50,0,10573
1250,M,25,7,48188
1251,M,56,13,9413
1252,F,35,20,7620
1253,F,18,1,02144
1254,M,25,17,9411
1255,M,25,20,1000
1256,F,18,14,8410
1257,M,45,7,20879
1258,M,35,7,20200
1259,M,25,17,2826
1260,M,18,4,40205
1261,M,25,4,22903
1262,M,1,10,81301
1263,M,25,1,53711
1264,F,18,20,4932
1265,M,25,4,18104
1266,M,25,15,1220
1267,M,50,2,10028
1268,F,56,13,0123
1269,M,25,6,12230
1270,F,45,6,54401
1271,M,18,20,4950
1272,M,35,2,19123
1273,M,45,7,37343
1274,M,50,17,3956
1275,M,35,17,9404
1276,F,18,0,06360
1277,M,18,4,98312
1278,M,35,1,98502
1279,M,1,10,97801
1280,M,25,19,9720
1281,M,50,1,98541
1282,F,18,1,94607
1283,M,45,16,3333
1284,M,35,4,98125
1285,M,35,17,9263
1286,F,50,7,94611
1287,F,35,19,9286
1288,M,45,6,78750
1289,M,35,0,91504
1290,F,35,0,10011
1291,M,25,7,94904
1292,M,25,5,60074
1293,F,50,20,1121
1294,F,35,6,90036
1295,M,1,0,75244
1296,M,25,7,92109
1297,M,35,6,33615
1298,M,25,14,0203
1299,M,1,10,97201
1300,F,25,2,10475
1301,M,18,4,85282
1302,M,25,19,9411
1303,M,25,14,9720
1304,M,45,20,9412
1305,M,25,3,64068
1306,M,56,13,7570
1307,M,1,10,75082
1308,M,25,14,7605
1309,M,45,0,92866
1310,M,18,10,9027
1311,M,25,14,6015
1312,M,18,4,43214
1313,F,18,4,68154
1314,M,35,7,75214
1315,M,50,2,50310
1316,M,45,7,98028
1317,M,18,16,9401
1318,F,25,3,98626
1319,M,25,4,22030
1320,F,25,14,3463
1321,M,56,0,94043
1322,F,35,2,11218
1323,M,35,16,0703
1324,M,25,1,75230
1325,F,25,0,98115
1326,M,1,10,12159
1327,M,35,14,6065
1328,M,18,14,6019
1329,M,56,1,95117
1330,M,45,0,12065
1331,M,25,7,02840
1332,M,25,17,0646
1333,M,50,7,10805
1334,M,35,0,14228
1335,F,50,20,9505
1336,M,56,17,9714
1337,M,25,0,94108
1338,M,35,18,8527
1339,M,25,7,14302
1340,M,18,7,11434
1341,M,35,0,94560
1342,M,35,14,9132
1343,F,25,9,43420
1344,F,25,2,75070
1345,M,35,20,2760
1346,F,18,1,11375
1347,F,1,10,04240
1348,M,50,7,13088
1349,F,35,0,90278
1350,F,25,17,9803
1351,M,35,20,9412
1352,M,1,10,95926
1353,F,25,2,94040
1354,F,45,20,0424
1355,F,18,4,91706
1356,M,45,0,34116
1357,M,35,17,4950
1358,M,35,1,10918
1359,M,25,20,1489
1360,F,25,0,97401
1361,M,35,12,7506
1362,M,50,7,01915
1363,F,45,2,97214
1364,F,1,10,61665
1365,M,1,10,89509
1366,M,25,12,5370
1367,F,25,3,50266
1368,M,25,5,12308
1369,M,35,2,92821
1370,F,50,2,60657
1371,M,1,10,95123
1372,F,25,1,55104
1373,M,50,1,91403
1374,F,45,5,95136
1375,F,45,1,32750
1376,M,35,16,6527
1377,F,45,7,21044
1378,F,56,13,9344
1379,M,1,10,58078
1380,M,18,11,8917
1381,F,45,1,92100
1382,F,25,7,19806
1383,M,18,10,9805
1384,F,25,5,90262
1385,F,25,0,07026
1386,F,50,13,9470
1387,M,56,20,8710
1388,M,25,17,1980
1389,M,35,16,9935
1390,M,35,15,2072
1391,M,45,3,90006
1392,M,18,4,06430
1393,F,25,3,94117
1394,M,25,2,07026
1395,F,25,12,9453
1396,M,35,7,55901
1397,F,56,16,9490
1398,M,18,17,1080
1399,M,25,7,92130
1400,F,18,1,94578
1401,M,18,4,90601
1402,F,25,0,53713
1403,M,50,16,9136
1404,M,56,13,3344
1405,M,25,4,91911
1406,F,35,15,5370
1407,M,25,0,90046
1408,M,18,4,97215
1409,M,50,7,94404
1410,M,35,1,08107
1411,M,25,17,9408
1412,M,18,3,98122
1413,M,18,4,85035
1414,M,45,14,2290
1415,M,25,14,9810
1416,M,35,16,1047
1417,M,18,4,48197
1418,F,25,1,95336
1419,M,18,4,01375
1420,F,1,10,53704
1421,M,35,17,5593
1422,M,25,4,08540
1423,M,35,0,28209
1424,M,1,10,08872
1425,M,18,14,9407
1426,M,25,12,2140
1427,F,45,11,4020
1428,F,35,3,11229
1429,M,18,4,97215
1430,M,56,6,91011
1431,M,35,1,94549
1432,F,18,14,4950
1433,F,1,10,49532
1434,M,25,14,4810
1435,F,50,6,97005
1436,M,50,3,89102
1437,M,18,2,21222
1438,M,35,3,98037
1439,M,35,12,9452
1440,M,35,16,5472
1441,M,18,2,12345
1442,M,35,2,98055
1443,F,25,4,91106
1444,M,25,2,98109
1445,M,35,12,1012
1446,M,18,4,80521
1447,F,25,3,17522
1448,M,35,20,1711
1449,M,18,4,94704
1450,M,35,20,9001
1451,F,56,13,9073
1452,M,25,14,1944
1453,M,18,4,93117
1454,F,45,0,92126
1455,M,25,2,98074
1456,M,25,1,95472
1457,M,1,0,08055
1458,F,25,0,80027
1459,F,18,4,95132
1460,F,45,0,94115
1461,M,35,16,9540
1462,M,50,16,9261
1463,M,35,12,7506
1464,M,50,16,9300
1465,M,18,4,29201
1466,M,25,5,97007
1467,M,1,14,19147
1468,M,56,20,9542
1469,M,18,4,94118
1470,M,25,17,1110
1471,M,25,7,90248
1472,M,25,14,0651
1473,M,25,4,98115
1474,F,25,2,75075
1475,F,18,0,91030
1476,F,45,1,90601
1477,M,1,10,92620
1478,F,50,2,94501
1479,M,25,20,9136
1480,M,35,17,7709
1481,M,25,7,94132
1482,M,18,4,54481
1483,M,25,12,0705
1484,F,25,9,80538
1485,M,25,16,9063
1486,M,35,7,07644
1487,M,25,7,94538
1488,F,35,2,60201
1489,M,50,7,90505
1490,M,18,4,06511
1491,M,25,12,9810
1492,F,25,14,6065
1493,M,25,17,3810
1494,M,18,0,77341
1495,M,25,17,9410
1496,M,50,5,80220
1497,M,18,4,02139
1498,M,1,10,19343
1499,M,25,17,9811
1500,M,25,11,7580
1501,M,18,4,12188
1502,M,25,12,9268
1503,M,18,19,2203
1504,M,50,11,9004
1505,M,25,7,08550
1506,M,35,17,9547
1507,F,1,10,94539
1508,M,1,0,11803
1509,F,25,1,48067
1510,M,35,12,0890
1511,M,25,20,1110
1512,F,35,16,9500
1513,M,18,4,97215
1514,M,25,16,4832
1515,F,25,12,5315
1516,M,18,0,10002
1517,M,25,2,95831
1518,M,18,4,38120
1519,M,25,17,9450
1520,F,25,7,08902
1521,M,35,20,1002
1522,M,25,17,9520
1523,M,18,4,06459
1524,F,25,16,9470
1525,M,56,17,8053
1526,M,18,10,7823
1527,M,25,15,9490
1528,M,18,4,97266
1529,M,25,4,53711
1530,M,45,17,6046
1531,M,18,14,4361
1532,M,45,1,71711
1533,M,50,12,1218
1534,F,18,20,9003
1535,F,35,3,83001
1536,M,18,20,0244
1537,M,25,3,22601
1538,M,25,3,02359
1539,M,45,0,97214
1540,M,56,17,2346
1541,M,18,17,1205
1542,M,25,11,1054
1543,M,25,12,6314
1544,M,25,20,2000
1545,M,25,4,22903
1546,M,56,13,0211
1547,M,35,1,53703
1548,M,35,6,20901
1549,M,18,4,11580
1550,M,25,11,2000
1551,M,45,20,1002
1552,F,25,15,6411
1553,F,35,12,1701
1554,F,18,0,20008
1555,M,18,4,48073
1556,F,18,4,10039
1557,M,18,6,60611
1558,M,35,8,10014
1559,F,25,3,85226
1560,F,18,4,11214
1561,M,18,20,4361
1562,F,1,10,87123
1563,M,50,1,01096
1564,M,45,17,7873
1565,M,35,16,7755
1566,M,25,12,0651
1567,F,1,10,94086
1568,F,56,13,0770
1569,M,18,17,7509
1570,M,25,20,9803
1571,F,25,3,02155
1572,M,1,0,77479
1573,M,25,6,81007
1574,F,50,7,94949
1575,F,45,9,85202
1576,M,56,0,72227
1577,M,18,4,22201
1578,M,25,0,60201
1579,F,18,4,76201
1580,F,18,4,10003
1581,M,18,0,10705
1582,M,35,6,94115
1583,M,25,19,4570
1584,M,56,20,9231
1585,M,45,7,77351
1586,F,25,3,30308
1587,M,25,11,2204
1588,M,25,0,95136
1589,M,35,1,95003
1590,M,50,7,26501
1591,M,35,7,50111
1592,M,25,16,7841
1593,F,35,20,1001
1594,M,35,1,92683
1595,F,18,5,48108
1596,M,25,12,1000
1597,M,35,13,7654
1598,M,25,0,92646
1599,M,35,7,08234
1600,M,25,12,8300
1601,F,25,7,10562
1602,F,25,0,13326
1603,M,25,11,5011
1604,F,18,0,28270
1605,F,35,3,55405
1606,M,45,1,02135
1607,M,25,11,7523
1608,F,35,9,06830
1609,M,25,11,5555
1610,M,25,0,03867
1611,M,25,17,1135
1612,M,18,20,6180
1613,M,35,0,90027
1614,F,45,7,10022
1615,M,25,0,16101
1616,M,25,12,4406
1617,M,50,0,44139
1618,M,50,3,48843
1619,M,25,20,4800
1620,M,25,4,11423
1621,M,18,4,53715
1622,M,50,15,0774
1623,M,25,0,06810
1624,M,45,0,04330
1625,M,18,4,10010
1626,M,18,17,9150
1627,M,18,20,9002
1628,M,18,4,10003
1629,M,45,17,9135
1630,F,50,0,94514
1631,M,25,16,9412
1632,F,45,7,99701
1633,F,56,0,38340
1634,M,25,0,97212
1635,F,25,19,6061
1636,M,56,0,90049
1637,F,18,17,9540
1638,M,25,17,9540
1639,M,35,17,9561
1640,M,25,0,95819
1641,M,50,13,6200
1642,M,45,2,90813
1643,M,18,12,9021
1644,F,18,9,62225
1645,M,25,20,9004
1646,M,18,18,9811
1647,M,50,14,8520
1648,M,18,19,9803
1649,M,25,19,9460
1650,M,25,12,9452
1651,M,25,16,9820
1652,M,18,0,94044
1653,F,45,0,94114
1654,M,18,4,94507
1655,M,25,17,9412
1656,F,45,0,10022
1657,F,35,6,94214
1658,F,18,9,99703
1659,F,25,2,94577
1660,M,35,7,80526
1661,M,25,12,9412
1662,M,18,4,77845
1663,F,18,4,76707
1664,M,45,17,8750
1665,M,25,14,1524
1666,M,50,16,9851
1667,M,35,2,95602
1668,F,25,17,7500
1669,F,56,13,9532
1670,M,35,0,98368
1671,M,25,17,9393
1672,M,1,10,98043
1673,M,35,2,95816
1674,F,25,6,97116
1675,M,18,4,91301
1676,M,18,14,9712
1677,F,18,17,9707
1678,M,25,12,9805
1679,M,25,20,9538
1680,M,18,4,78705
1681,M,25,2,98102
1682,F,25,7,98109
1683,M,18,3,85226
1684,M,35,12,9583
1685,M,35,12,9406
1686,M,25,3,85013
1687,F,18,4,34243
1688,M,35,5,98465
1689,M,35,16,9802
1690,F,25,17,8530
1691,M,35,20,9733
1692,M,25,12,9868
1693,M,25,12,9811
1694,M,25,1,97206
1695,M,35,7,95765
1696,F,18,4,98052
1697,M,35,2,97214
1698,F,25,19,9810
1699,M,25,20,9811
1700,F,25,4,97233
1701,M,18,10,9730
1702,M,18,15,7704
1703,M,25,4,98926
1704,F,18,4,85033
1705,M,25,20,1913
1706,M,50,1,95070
1707,M,25,0,64106
1708,M,25,0,73147
1709,M,18,0,94530
1710,F,18,4,30134
1711,M,25,0,73003
1712,M,25,0,47421
1713,M,25,17,4321
1714,M,25,16,5340
1715,M,25,0,43229
1716,F,50,6,30307
1717,M,18,4,43235
1718,M,18,16,6052
1719,M,18,4,94720
1720,M,18,19,7004
1721,M,35,0,72058
1722,M,35,17,6010
1723,M,18,4,00961
1724,M,18,19,6721
1725,M,25,2,60160
1726,M,35,16,5031
1727,M,18,4,11710
1728,M,25,7,53715
1729,F,18,4,60137
1730,F,18,0,91601
1731,M,18,4,13655
1732,M,18,14,4372
1733,M,45,17,9460
1734,M,18,20,3060
1735,M,56,8,00606
1736,M,35,20,4661
1737,M,35,16,3003
1738,M,56,16,7707
1739,M,56,1,96153
1740,M,35,7,91107
1741,M,25,15,0810
1742,M,35,17,7756
1743,M,35,12,5032
1744,M,45,0,94114
1745,M,25,4,33157
1746,M,25,0,90638
1747,M,50,1,04240
1748,M,25,2,10040
1749,M,50,5,10128
1750,M,35,20,7702
1751,M,25,3,96813
1752,M,35,6,90803
1753,M,18,19,2702
1754,F,18,4,77005
1755,F,25,1,75149
1756,M,25,4,75206
1757,F,25,0,33067
1758,M,25,16,2211
1759,F,25,3,90016
1760,M,35,0,72058
1761,M,25,14,7523
1762,M,35,7,76248
1763,M,18,0,75149
1764,M,18,4,13655
1765,F,45,0,94566
1766,M,25,20,7520
1767,M,45,16,7506
1768,M,25,17,7524
1769,M,35,16,7960
1770,M,25,17,7504
1771,M,56,2,90680
1772,M,18,4,07030
1773,M,25,17,9900
1774,M,25,4,70115
1775,M,25,0,45801
1776,M,25,20,1702
1777,M,18,4,94704
1778,M,18,1,78133
1779,M,35,1,22181
1780,F,35,0,08009
1781,M,45,0,23454
1782,M,18,4,10027
1783,M,18,20,1810
1784,M,18,4,04901
1785,M,45,1,85721
1786,M,18,8,90210
1787,M,45,2,19104
1788,M,1,10,19116
1789,M,25,0,19152
1790,M,18,4,19146
1791,F,25,2,53523
1792,M,25,4,20008
1793,M,25,11,2087
1794,M,18,17,2072
1795,M,50,11,2085
1796,M,35,7,52003
1797,M,45,11,2220
1798,M,35,11,7011
1799,M,18,4,70118
1800,F,25,6,54729
1801,M,18,4,22903
1802,M,25,2,50021
1803,M,25,7,22314
1804,M,18,4,22401
1805,M,18,4,22032
1806,M,18,17,2074
1807,F,18,4,22031
1808,F,25,14,1218
1809,M,50,13,9021
1810,M,56,2,08825
1811,F,25,12,4810
1812,F,35,6,90035
1813,M,50,7,10014
1814,M,1,1,30707
1815,F,35,9,56007
1816,M,35,1,53706
1817,M,1,8,02254
1818,F,35,12,4524
1819,M,25,20,5026
1820,M,25,20,4331
1821,F,25,0,53713
1822,F,35,1,92801
1823,F,18,4,43560
1824,M,25,7,50310
1825,M,45,11,4926
1826,F,25,1,07721
1827,M,18,4,07030
1828,M,25,16,0730
1829,M,18,4,12180
1830,M,18,4,53190
1831,F,18,4,14433
1832,M,18,17,0703
1833,M,35,5,10990
1834,M,25,19,1150
1835,M,25,0,10016
1836,M,25,2,08817
1837,M,35,7,10011
1838,M,18,4,07940
1839,M,25,12,1121
1840,M,18,0,95037
1841,M,18,4,53190
1842,M,25,12,1001
1843,F,18,4,53711
1844,M,25,2,10002
1845,M,45,12,9505
1846,M,18,4,60047
1847,M,35,5,10011
1848,M,35,7,11747
1849,M,18,5,12582
1850,M,25,19,5960
1851,M,25,12,1003
1852,M,50,0,90803
1853,M,25,0,92346
1854,M,18,4,93004
1855,M,56,7,92065
1856,M,1,10,92106
1857,F,18,4,59715
1858,F,25,4,66049
1859,M,56,16,9459
1860,M,50,16,9212
1861,M,50,14,9512
1862,M,18,4,90048
1863,M,35,7,94306
1864,F,18,1,94606
1865,M,25,7,94043
1866,M,50,7,95008
1867,M,50,11,9234
1868,M,45,14,9514
1869,M,56,13,8524
1870,F,45,1,46774
1871,M,50,20,9210
1872,M,35,7,02127
1873,M,45,7,95076
1874,M,35,12,9410
1875,M,25,12,9202
1876,F,45,20,9006
1877,M,1,10,92846
1878,M,25,4,29732
1879,M,35,0,91006
1880,M,35,2,95008
1881,M,35,16,9235
1882,F,50,0,94521
1883,M,45,20,9310
1884,M,50,17,9461
1885,M,25,12,9408
1886,M,56,15,9211
1887,M,35,12,9512
1888,M,18,14,8002
1889,M,50,6,94702
1890,M,45,1,91335
1891,M,25,20,9006
1892,F,35,0,90024
1893,F,35,7,94602
1894,M,35,14,8911
1895,M,56,13,9211
1896,F,50,2,94530
1897,M,25,12,9110
1898,F,45,6,02135
1899,M,56,12,9410
1900,M,50,7,94024
1901,M,25,19,9353
1902,M,35,0,90401
1903,M,18,1,30115
1904,F,35,20,9411
1905,F,25,5,91311
1906,M,35,17,9480
1907,M,56,13,9512
1908,M,18,4,89146
1909,M,1,10,94707
1910,F,18,4,92805
1911,M,25,4,91325
1912,M,25,17,9512
1913,F,35,14,9505
1914,M,50,13,0193
1915,M,45,7,90405
1916,M,18,10,9270
1917,F,45,6,95209
1918,M,1,0,94525
1919,F,35,7,80122
1920,M,56,12,9278
1921,F,25,7,94303
1922,M,35,7,90026
1923,F,56,6,90630
1924,M,50,7,92886
1925,F,1,0,95404
1926,M,35,7,94806
1927,M,1,10,94501
1928,F,1,10,91107
1929,M,25,15,9455
1930,M,25,2,94114
1931,M,25,7,94114
1932,M,18,19,9470
1933,M,25,17,9501
1934,M,1,10,90405
1935,M,35,0,90026
1936,M,25,11,9233
1937,F,25,2,91351
1938,F,35,2,94930
1939,M,25,12,9515
1940,M,35,17,9455
1941,M,35,5,04901
1942,M,18,4,91501
1943,F,18,4,93107
1944,M,25,20,9286
1945,M,25,14,9411
1946,M,25,7,94041
1947,M,1,10,93111
1948,M,18,17,9259
1949,M,25,12,4902
1950,F,18,4,90630
1951,M,35,1,91030
1952,F,25,2,94566
1953,M,25,16,9140
1954,M,1,19,03109
1955,M,35,0,44280
1956,F,18,4,23185
1957,F,25,1,17055
1958,F,50,13,5309
1959,M,45,7,55555
1960,F,50,3,91911
1961,F,18,1,60914
1962,F,50,9,91941
1963,F,25,6,89523
1964,M,56,17,4830
1965,M,25,20,9363
1966,M,50,7,92116
1967,M,25,11,8525
1968,F,25,3,92116
1969,M,50,13,8905
1970,F,25,14,8023
1971,M,45,17,9211
1972,M,25,1,22903
1973,M,35,17,1215
1974,M,18,4,97361
1975,M,35,5,58703
1976,M,56,6,02726
1977,M,1,10,43357
1978,M,56,17,4950
1979,M,35,7,06460
1980,M,56,1,80303
1981,M,1,10,80540
1982,M,25,14,9210
1983,M,18,10,9213
1984,M,45,12,9212
1985,M,50,13,9197
1986,M,25,17,6262
1987,F,25,1,85224
1988,M,50,6,02090
1989,M,25,7,85257
1990,M,25,20,4830
1991,M,18,4,85259
1992,M,35,17,9950
1993,M,35,2,89012
1994,M,25,1,85364
1995,M,35,0,85621
1996,M,25,0,84108
1997,F,50,9,24018
1998,F,35,3,02113
1999,M,18,4,44685
2000,M,50,1,48197
2001,F,56,13,0213
2002,M,1,10,80014
2003,M,45,19,5357
2004,M,18,4,58601
2005,M,35,0,66048
2006,M,50,16,8044
2007,M,25,3,48220
2008,F,35,7,60625
2009,M,18,4,81520
2010,F,35,3,01545
2011,M,25,4,49456
2012,M,45,0,60543
2013,M,18,4,53233
2014,M,18,4,01003
2015,F,56,2,20783
2016,M,25,17,3580
2017,M,35,16,4621
2018,M,50,1,27705
2019,M,25,7,45011
2020,M,25,0,61364
2021,M,25,7,60137
2022,M,18,4,56001
2023,M,1,19,06614
2024,M,56,13,0344
2025,M,50,16,4927
2026,F,25,9,48021
2027,M,45,6,44131
2028,F,25,12,1001
2029,M,25,4,77345
2030,M,35,20,6064
2031,M,50,14,4461
2032,F,45,20,9143
2033,F,45,2,01851
2034,F,18,0,45212
2035,F,25,14,9004
2036,M,56,14,0246
2037,F,45,1,33301
2038,M,50,16,6006
2039,F,25,7,02494
2040,F,25,20,2401
2041,M,1,10,79358
2042,M,25,14,3793
2043,F,45,0,49408
2044,F,1,0,24179
2045,M,35,1,91711
2046,M,1,10,06437
2047,M,50,6,49456
2048,F,50,0,13210
2049,F,35,3,99504
2050,M,35,7,93906
2051,M,1,10,46033
2052,M,45,11,0641
2053,M,25,12,0311
2054,M,50,11,4900
2055,M,25,4,56301
2056,M,35,1,49417
2057,F,56,1,06437
2058,M,35,0,44130
2059,M,1,1,48304
2060,M,56,1,44107
2061,M,18,4,44646
2062,M,25,4,43138
2063,M,35,1,01020
2064,M,25,6,46807
2065,F,25,6,53202
2066,M,50,16,0643
2067,F,35,12,4352
2068,M,56,15,7906
2069,F,35,6,13210
2070,M,45,7,01605
2071,F,50,12,2113
2072,F,18,4,13148
2073,M,18,4,48197
2074,F,25,4,13210
2075,M,18,4,13165
2076,M,18,0,55112
2077,M,18,4,13323
2078,M,1,10,45241
2079,M,25,11,3793
2080,M,18,17,4944
2081,M,1,19,48323
2082,M,18,4,64920
2083,M,18,4,23186
2084,M,18,0,06360
2085,M,35,14,4832
2086,M,25,0,37923
2087,M,50,7,60618
2088,M,35,17,1760
2089,M,35,17,4831
2090,F,35,20,4804
2091,M,56,1,49006
2092,M,18,0,48322
2093,M,35,2,60061
2094,M,56,13,5850
2095,F,25,17,3399
2096,M,18,5,48504
2097,M,35,20,4806
2098,F,18,0,48823
2099,F,25,0,24017
2100,M,25,16,4830
2101,M,25,11,4882
2102,M,35,12,0306
2103,M,45,15,6003
2104,M,25,1,24060
2105,F,18,20,4953
2106,M,25,1,24060
2107,M,1,10,60462
2108,M,25,16,1309
2109,M,50,11,4680
2110,M,56,13,3280
2111,F,45,12,2311
2112,M,25,6,04456
2113,M,18,18,2174
2114,M,35,17,0151
2115,M,18,4,49546
2116,M,56,13,4930
2117,M,25,14,0214
2118,M,35,4,10036
2119,M,1,0,02780
2120,M,56,13,0235
2121,M,35,12,6161
2122,F,35,0,13064
2123,M,25,0,12306
2124,M,35,3,46033
2125,M,56,14,0263
2126,M,18,4,12309
2127,F,45,1,46737
2128,M,25,5,04103
2129,M,45,0,03060
2130,M,25,0,01701
2131,M,56,14,0263
2132,F,1,10,01607
2133,M,18,10,0278
2134,M,50,1,01778
2135,M,35,18,1302
2136,F,1,10,00681
2137,F,18,4,88119
2138,F,50,3,33615
2139,M,45,14,4680
2140,F,50,16,4870
2141,F,45,14,4680
2142,M,18,4,32607
2143,M,18,0,46517
2144,M,18,10,3275
2145,M,18,2,96002
2146,F,18,0,60641
2147,F,18,0,81301
2148,M,25,0,60089
2149,F,18,4,22904
2150,M,56,13,3331
2151,M,18,4,22807
2152,M,18,16,9740
2153,M,25,12,6850
2154,F,1,10,50246
2155,M,18,19,5591
2156,F,18,3,45244
2157,M,25,12,6061
2158,F,50,14,6061
2159,F,18,19,4655
2160,F,35,2,95521
2161,F,1,10,35810
2162,M,18,0,87122
2163,M,35,0,95826
2164,M,25,7,32836
2165,M,1,10,99203
2166,F,25,6,95833
2167,M,1,10,60202
2168,M,1,0,95451
2169,F,50,16,9911
2170,M,35,0,48103
2171,M,18,20,6064
2172,M,50,13,8750
2173,M,50,12,8750
2174,M,25,4,99217
2175,M,1,19,73505
2176,F,35,20,9545
2177,M,45,14,8525
2178,F,25,0,28304
2179,M,25,12,2771
2180,M,25,0,45245
2181,F,25,4,60443
2182,F,56,1,11795
2183,M,18,4,45403
2184,M,45,17,2750
2185,M,18,5,41018
2186,M,45,16,6012
2187,F,18,19,6064
2188,M,1,10,60148
2189,F,25,15,2760
2190,M,18,4,45231
2191,F,25,0,27713
2192,M,1,10,41011
2193,M,25,17,4523
2194,M,1,10,60148
2195,M,25,12,4514
2196,F,25,1,27515
2197,F,35,9,46815
2198,M,1,10,60613
2199,M,35,1,60016
2200,M,56,20,4680
2201,F,1,10,11743
2202,M,45,12,5371
2203,M,56,3,94941
2204,F,25,7,10016
2205,M,45,7,11201
2206,M,18,4,07508
2207,M,25,0,10006
2208,M,35,7,10011
2209,M,45,17,8800
2210,M,45,6,01950
2211,M,18,4,80521
2212,F,25,0,60622
2213,F,25,1,46807
2214,F,25,0,93940
2215,F,25,20,6061
2216,M,1,10,44906
2217,M,35,17,6415
2218,M,25,6,60060
2219,F,50,3,95451
2220,M,56,17,9493
2221,F,45,1,13088
2222,M,25,2,60123
2223,M,25,12,6002
2224,M,25,5,96815
2225,F,25,7,27514
2226,M,50,14,6001
2227,M,25,12,6002
2228,M,45,0,61821
2229,F,45,1,60302
2230,M,50,11,8572
2231,M,25,14,6006
2232,F,35,3,60187
2233,M,56,1,85718
2234,M,1,10,46324
2235,M,1,10,96782
2236,F,35,6,14905
2237,F,25,4,32607
2238,M,18,10,6014
2239,M,45,12,6411
2240,M,45,5,60647
2241,M,18,4,60115
2242,M,45,2,86701
2243,M,1,10,60565
2244,M,1,10,60007
2245,M,25,0,60622
2246,M,45,2,60613
2247,F,35,12,4675
2248,M,25,5,60466
2249,M,18,19,6001
2250,M,35,14,6062
2251,F,18,1,01562
2252,F,50,0,46815
2253,M,35,5,33317
2254,F,35,6,44303
2255,F,45,15,5984
2256,F,18,4,59715
2257,F,18,4,10033
2258,F,56,16,7050
2259,F,25,20,4683
2260,M,25,5,33025
2261,M,45,17,4811
2262,M,25,6,70508
2263,F,45,7,37877
2264,M,56,13,6050
2265,F,50,2,48118
2266,F,56,13,3777
2267,F,35,1,46774
2268,F,45,0,11217
2269,M,18,1,14620
2270,M,50,14,1321
2271,M,25,0,71731
2272,M,25,6,23235
2273,M,18,2,31401
2274,M,56,7,39211
2275,M,56,13,4414
2276,F,45,9,13035
2277,M,50,17,0153
2278,M,50,7,08816
2279,M,56,6,74105
2280,M,45,11,4810
2281,M,50,2,32117
2282,M,35,18,4470
2283,M,25,20,9002
2284,F,1,10,13090
2285,M,35,17,8260
2286,M,56,0,06082
2287,M,1,10,13066
2288,F,50,1,52002
2289,M,25,0,61021
2290,M,45,1,13214
2291,M,50,15,1303
2292,F,56,3,48130
2293,M,56,13,4810
2294,M,45,11,7231
2295,F,25,6,22923
2296,M,56,13,5200
2297,M,35,17,7758
2298,F,18,10,1309
2299,M,56,13,4942
2300,F,25,12,0247
2301,M,50,12,4810
2302,M,50,17,0805
2303,M,45,12,9410
2304,M,50,20,4810
2305,F,18,4,02138
2306,M,25,17,0214
2307,F,45,16,4810
2308,F,45,0,08901
2309,M,45,12,4813
2310,F,25,4,22902
2311,M,45,0,13131
2312,F,50,6,48103
2313,F,25,1,13210
2314,M,56,7,48114
2315,M,35,0,13207
2316,F,45,9,57108
2317,M,56,7,48114
2318,M,35,7,48104
2319,F,50,1,06043
2320,M,25,7,30115
2321,F,56,13,4810
2322,M,35,3,13088
2323,M,35,17,5032
2324,F,18,4,27708
2325,M,18,4,01040
2326,M,18,10,4816
2327,M,56,7,13212
2328,F,56,15,9736
2329,M,45,7,48103
2330,M,56,1,48104
2331,M,56,14,0154
2332,M,50,6,13035
2333,F,56,7,01562
2334,M,50,17,4819
2335,M,35,18,1314
2336,M,35,17,4942
2337,M,45,17,1315
2338,F,56,3,52003
2339,M,35,2,48104
2340,M,56,1,13210
2341,M,35,3,48107
2342,F,45,1,01604
2343,M,25,12,0213
2344,M,35,16,9803
2345,F,1,10,48105
2346,M,35,1,48116
2347,M,50,12,0608
2348,M,25,8,50309
2349,M,18,4,44312
2350,F,25,0,11106
2351,M,50,13,4107
2352,F,35,9,61270
2353,M,35,11,9430
2354,F,45,9,13203
2355,F,50,16,1320
2356,F,35,14,1331
2357,F,56,6,06074
2358,M,56,13,1368
2359,M,50,6,13210
2360,M,56,7,49423
2361,M,25,14,9411
2362,M,50,14,9582
2363,F,56,9,13078
2364,M,50,7,13203
2365,F,45,16,0153
2366,F,25,9,49424
2367,F,56,13,1305
2368,M,35,14,0604
2369,M,50,1,13215
2370,F,35,7,06082
2371,F,45,7,01602
2372,M,45,7,94109
2373,M,25,14,9440
2374,F,50,7,13027
2375,M,25,1,13210
2376,M,35,0,06108
2377,M,25,3,75150
2378,M,18,18,1304
2379,M,25,4,22903
2380,F,35,9,13066
2381,M,50,13,5971
2382,F,25,14,9512
2383,M,35,17,6203
2384,F,45,2,01545
2385,F,25,0,06040
2386,M,25,17,3222
2387,M,56,5,06082
2388,M,25,16,3792
2389,F,25,6,33076
2390,M,50,18,1312
2391,F,56,3,06040
2392,M,56,13,1312
2393,M,35,6,37923
2394,M,35,7,08021
2395,F,18,0,22102
2396,F,35,11,4320
2397,M,25,0,98122
2398,M,35,17,1135
2399,F,25,16,9568
2400,M,25,4,22901
2401,M,45,17,3202
2402,M,18,4,37743
2403,M,18,7,64055
2404,M,50,8,78065
2405,F,56,12,0152
2406,M,35,16,1135
2407,F,45,1,01609
2408,F,35,9,06074
2409,M,56,7,06071
2410,F,35,14,0153
